wtM_koH_1,wtM_koH_2,wtH_koM_1,wtH_koM_2,Log2_FC,STDEV,Location,t_test,T-test Difference ,T-test Significant ,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Score,Intensity L,Intensity M,Intensity H,Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers
3.268260717,3.748689413,-0.370564103,NaN,2.215462009,2.252410092,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11175259, ECO:0000269|PubMed:12200134, ECO:0000269|PubMed:22825846}. Nucleus {ECO:0000269|PubMed:11175259}.",0.230561724,2.215462009,,3,10.3,10.3,10.3,27.679,61.247,33147000,19801000,1761600,P31944,P31944,"Caspase-14;Caspase-14 subunit p17, mature form;Caspase-14 subunit p10, mature form;Caspase-14 subunit p20, intermediate form;Caspase-14 subunit p8, intermediate form",CASP14,sp|P31944|CASPE_HUMAN Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2
2.119667053,NaN,2.348459005,1.782702088,2.083609382,0.284596801,SUBCELLULAR LOCATION: Secreted.,0.006161379,2.083609382,+,2,9.9,9.9,9.9,19.408,18.557,152070000,49480000,97496000,P41271,P41271,Neuroblastoma suppressor of tumorigenicity 1,NBL1,sp|P41271|NBL1_HUMAN Neuroblastoma suppressor of tumorigenicity 1 OS=Homo sapiens OX=9606 GN=NBL1 PE=1 SV=2
2.471528769,1.640209079,1.526769996,2.36862874,2.001784146,0.487035228,Cytoplasm,0.003768284,2.001784146,+,3,13.8,13.8,13.8,23.466,37.702,4442800000,428430000,718810000,P84098,P84098,60S ribosomal protein L19,RPL19,sp|P84098|RL19_HUMAN 60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1
1.500626087,NaN,2.308797598,NaN,1.904711843,0.571463556,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:9326369}.,0.13308604,1.904711843,,2,3.7,3.7,3.7,74.925,15.315,4444700,9401700,17207000,Q14393,Q14393,Growth arrest-specific protein 6,GAS6,sp|Q14393|GAS6_HUMAN Growth arrest-specific protein 6 OS=Homo sapiens OX=9606 GN=GAS6 PE=1 SV=3
1.981308937,1.496956587,1.745065093,1.845188856,1.767129868,0.204488252,"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",0.000422057,1.767129868,+,2,10.4,10.4,10.4,20.825,15.159,120700000,365970000,364030000,P55001,P55001,Microfibrillar-associated protein 2,MFAP2,sp|P55001|MFAP2_HUMAN Microfibrillar-associated protein 2 OS=Homo sapiens OX=9606 GN=MFAP2 PE=2 SV=1
2.650272369,5.149542809,1.118891239,-2.223171711,1.673883677,3.083753048,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:16410549}. Nucleus {ECO:0000269|PubMed:16410549}.,0.35709338,1.673883677,,2,0.1,0.1,0.1,3816,10.789,4519000000,153330000,89453000,Q8WZ42,Q8WZ42,Titin,TTN,sp|Q8WZ42|TITIN_HUMAN Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4
2.195087433,1.364756346,1.336111903,1.736388445,1.658086032,0.401750925,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10222138}. Golgi apparatus {ECO:0000269|PubMed:10222138}. Secreted {ECO:0000305}. Melanosome {ECO:0000269|PubMed:12643545}. Sarcoplasmic reticulum lumen {ECO:0000305}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:12643545}.,0.003723457,1.658086032,+,7,16.5,16.5,16.5,37.106,48.427,70247000,186550000,194700000,O43852,O43852,Calumenin,CALU,sp|O43852|CALU_HUMAN Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2
0.183310077,2.534328461,NaN,2.171943426,1.629860654,1.265785195,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,0.155477153,1.629860654,,5,8.8,8.8,8.8,64.135,31.432,74481000,2950600,13940000,Q5T749,Q5T749,Keratinocyte proline-rich protein,KPRP,sp|Q5T749|KPRP_HUMAN Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1
1.568366408,NaN,1.526970148,1.685087919,1.593474825,0.081994706,"SUBCELLULAR LOCATION: [Prosaposin]: Secreted {ECO:0000250|UniProtKB:Q61207}. Note=Secreted as a fully glycosylated 70 kDa protein composed of complex glycans. {ECO:0000250|UniProtKB:Q61207}.;SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:14657016, ECO:0000269|PubMed:21835174, ECO:0000269|PubMed:22431521}.",0.000881425,1.593474825,+,11,24.2,24.2,24.2,58.112,76.905,40979000,176840000,492940000,P07602,P07602,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,sp|P07602|SAP_HUMAN Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2
0.083049454,-0.977536321,5.524878502,1.721722603,1.588028559,2.849780508,"Single-pass type I membrane protein {ECO:0000250}. Cell junction, desmosome.;SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}",0.346314599,1.588028559,,10,13.2,13.2,13.2,113.75,143.04,382060000,47478000,67952000,Q02413,Q02413,Desmoglein-1,DSG1,sp|Q02413|DSG1_HUMAN Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2
3.28236866,NaN,-0.237693697,NaN,1.522337481,2.489059963,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20059950, ECO:0000269|PubMed:30203323}. Cytoplasm {ECO:0000269|PubMed:30203323}. Golgi apparatus {ECO:0000250|UniProtKB:D3ZSP7}. Note=Nuclear localization may be dependent on the proteolytic cleavage of full length protein in the cytoplasm (PubMed:30203323). This cleavage may reveal an N-terminal nuclear localization signal, allowing N-terminal fragments to enter the nucleus (PubMed:30203323). {ECO:0000269|PubMed:30203323}.",0.546020679,1.522337481,,2,1,1,1,229.87,10.251,552020000,155680000,40753000,P53804,P53804,E3 ubiquitin-protein ligase TTC3,TTC3,sp|P53804|TTC3_HUMAN E3 ubiquitin-protein ligase TTC3 OS=Homo sapiens OX=9606 GN=TTC3 PE=1 SV=2
1.556945086,1.402168512,1.524314404,1.378067613,1.465373904,0.088461995,"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14962672}.;SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",6.04E-05,1.465373904,+,59,30.6,30.6,29.6,314.77,323.31,452830000,2601300000,3309800000,P35556;Q75N90,P35556,Fibrillin-2,FBN2,sp|P35556|FBN2_HUMAN Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3
NaN,5.552054882,-2.66273427,NaN,1.444660306,5.808733115,Cytoplasm,0.784690155,1.444660306,,2,0.6,0.6,0.6,294.36,11.976,16031000,8211100,1332100,Q9UPU5,Q9UPU5,Ubiquitin carboxyl-terminal hydrolase 24,USP24,sp|Q9UPU5|UBP24_HUMAN Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens OX=9606 GN=USP24 PE=1 SV=3
NaN,3.941287279,0.81064868,-0.682163477,1.356590827,2.359579167,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12237133, ECO:0000269|PubMed:2444024, ECO:0000269|PubMed:5541771}.",0.424267203,1.356590827,,3,10,10,10,23.01,21.529,723970000,34946000,16441000,P02753,P02753,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),RBP4,sp|P02753|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens OX=9606 GN=RBP4 PE=1 SV=3
1.087978601,0.905899107,1.532117486,1.69808507,1.306020066,0.370798181,"SUBCELLULAR LOCATION: [Endostatin]: Secreted {ECO:0000269|PubMed:10441114}. Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000305}.;SUBCELLULAR LOCATION: [Non-collagenous domain 1]: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:P39061}. Secreted {ECO:0000250|UniProtKB:P39061}.;SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:P39061}.",0.005878975,1.306020066,+,12,8.2,8.2,8.2,178.19,180.74,151050000,793480000,1012300000,P39060,P39060,Collagen alpha-1(XVIII) chain;Endostatin,COL18A1,sp|P39060|COIA1_HUMAN Collagen alpha-1(XVIII) chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5
0.931315362,4.467086792,0.401521206,-0.631667376,1.292063996,2.213949577,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20189825}.,0.327465781,1.292063996,,4,30.8,30.8,30.8,15.799,45.545,222930000,415410000,284420000,P01034,P01034,Cystatin-C,CST3,sp|P01034|CYTC_HUMAN Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1
0.626223683,1.168803692,1.533463597,1.799833417,1.282081097,0.508016189,"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.",0.014999102,1.282081097,+,4,2.7,2.7,2.7,183.56,31.434,652040000,64679000,327950000,P20908,P20908,Collagen alpha-1(V) chain,COL5A1,sp|P20908|CO5A1_HUMAN Collagen alpha-1(V) chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3
NaN,NaN,0.912343264,1.645932078,1.279137671,0.518725626,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11485744}.,0.177781265,1.279137671,,3,4.9,4.9,4.9,79.246,32.27,68159000,13358000,8911600,P48740,P48740,Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,MASP1,sp|P48740|MASP1_HUMAN Mannan-binding lectin serine protease 1 OS=Homo sapiens OX=9606 GN=MASP1 PE=1 SV=3
0.834879041,1.357529402,0.843983829,2.060393333,1.274196401,0.578253867,Unknown,0.021670202,1.274196401,+,2,1.6,1.6,1.6,147.73,12.075,189020000,17130000,75502000,Q8IV33,Q8IV33,Uncharacterized protein KIAA0825,KIAA0825,sp|Q8IV33|K0825_HUMAN Uncharacterized protein KIAA0825 OS=Homo sapiens OX=9606 GN=KIAA0825 PE=2 SV=3
NaN,NaN,1.467644691,0.930775166,1.199209929,0.379624082,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00549, ECO:0000269|PubMed:20418909}. Note=Colocalizes with long non-coding RNA Evf2 in nuclear RNA clouds. {ECO:0000250|UniProtKB:Q3TKT4}.;SUBCELLULAR LOCATION: Nucleus.",0.140191907,1.199209929,,2,1.5,1.5,1.5,181.28,10.317,48392000,4561700,10816000,P51531;P51532,P51531;P51532,Probable global transcription activator SNF2L2;Transcription activator BRG1,SMARCA2;SMARCA4,sp|P51531|SMCA2_HUMAN Probable global transcription activator SNF2L2 OS=Homo sapiens OX=9606 GN=SMARCA2 PE=1 SV=2;sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2
1.559834361,1.591353297,0.999134123,0.631430328,1.195438027,0.464102538,"SUBCELLULAR LOCATION: [Serpinin]: Secreted {ECO:0000250|UniProtKB:P26339}. Cytoplasmic vesicle, secretory vesicle {ECO:0000250|UniProtKB:P26339}. Note=Pyroglutaminated serpinin localizes to secretory vesicle. {ECO:0000250|UniProtKB:P26339}.;SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250|UniProtKB:P10354}. Cytoplasmic vesicle, secretory vesicle, neuronal dense core vesicle {ECO:0000250|UniProtKB:P10354}. Secreted {ECO:0000250|UniProtKB:P10354}. Note=Associated with the secretory granule membrane through direct interaction to SCG3 that in turn binds to cholesterol-enriched lipid rafts in intragranular conditions. In pituitary gonadotropes, located in large secretory granules. {ECO:0000250|UniProtKB:P10354}.",0.01417937,1.195438027,+,9,37.4,37.4,37.4,50.688,183.32,138040000,806870000,1109600000,P10645,P10645,Chromogranin-A;Vasostatin-1;Vasostatin-2;EA-92;ES-43;Pancreastatin;SS-18;WA-8;WE-14;LF-19;Catestatin;AL-11;GV-19;GR-44;ER-37;GE-25;Serpinin-RRG;Serpinin;p-Glu serpinin precursor,CHGA,sp|P10645|CMGA_HUMAN Chromogranin-A OS=Homo sapiens OX=9606 GN=CHGA PE=1 SV=7
0.922018766,NaN,1.321870446,1.107286215,1.117058476,0.200104883,"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P29268}. Secreted {ECO:0000250|UniProtKB:P29268}.",0.010527895,1.117058476,+,8,26.4,26.4,26.4,38.091,76.73,40440000,105660000,178370000,P29279,P29279,Connective tissue growth factor,CTGF,sp|P29279|CTGF_HUMAN Connective tissue growth factor OS=Homo sapiens OX=9606 GN=CTGF PE=1 SV=2
1.375870943,NaN,0.804301381,1.10514164,1.095104655,0.28591694,"Single-pass membrane protein {ECO:0000269|PubMed:19269366}. Note=Localizes at endoplasmic reticulum exit sites (ERES), also known as transitional endoplasmic reticulum (tER). SEC16A is required for its proper localization to ERES. After loading of COL7A1 into transport carriers, it is not incorporated into COPII carriers and remains in the endoplasmic reticulum membrane. {ECO:0000269|PubMed:19269366, ECO:0000269|PubMed:21525241, ECO:0000269|PubMed:28442536}.;SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:19269366, ECO:0000269|PubMed:21525241}",0.021975809,1.095104655,+,8,4.9,4.9,4.9,213.7,90.676,120250000,106250000,91473000,Q5JRA6,Q5JRA6,Melanoma inhibitory activity protein 3,MIA3,sp|Q5JRA6|TGO1_HUMAN Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1
1.6033144,NaN,0.775092721,0.888460755,1.088955959,0.449039566,Single-pass membrane protein {ECO:0000269|PubMed:10444376}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:10444376};Single-pass type I membrane protein {ECO:0000269|PubMed:10444376}.;Single-pass type I membrane protein {ECO:0000269|PubMed:10444376}. Golgi apparatus membrane {ECO:0000269|PubMed:10444376};SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:10444376},0.052275036,1.088955959,,4,11.2,11.2,11.2,40.228,32.811,66770000,344550000,418330000,Q12907,Q12907,Vesicular integral-membrane protein VIP36,LMAN2,sp|Q12907|LMAN2_HUMAN Vesicular integral-membrane protein VIP36 OS=Homo sapiens OX=9606 GN=LMAN2 PE=1 SV=1
1.134445429,NaN,0.993783057,1.086104274,1.071444253,0.071467915,"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",0.001479779,1.071444253,+,3,0.9,0.9,0.5,458.38,35.267,121030000,21806000,19296000,P22105,P22105,Tenascin-X,TNXB,sp|P22105|TENX_HUMAN Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5
0.692151904,2.214106321,0.110095993,1.099362612,1.028929207,0.888309084,"SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000250}. Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Localizes to the lamina propria underneath the olfactory epithelium. {ECO:0000250}.",0.103404757,1.028929207,,8,18.9,18.9,18.9,54.64,124.71,207680000,68171000,40988000,Q12805,Q12805,EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1,sp|Q12805|FBLN3_HUMAN EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2
1.381911755,0.498301059,NaN,1.188147664,1.022786826,0.46443527,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17412408, ECO:0000269|PubMed:17460694, ECO:0000269|PubMed:19465922}. Note=Observed in spots localized in pairs on the sister chromatids of mitotic chromosome arms and not centromeres, one on each chromatids. These foci coincide with common fragile sites. They are frequently interlinked through BLM-associated ultra-fine DNA bridges.",0.062370688,1.022786826,,2,1.5,1.5,1.5,149.32,11.826,115420000,15908000,20736000,Q9NVI1,Q9NVI1,Fanconi anemia group I protein,FANCI,sp|Q9NVI1|FANCI_HUMAN Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4
NaN,-4.018278122,3.387776136,3.647314548,1.005604188,4.352744553,Cytoplasm,0.727738989,1.005604188,,2,13.4,13.4,13.4,17.779,15.649,15524000,3376300,27291000,P83731,P83731,60S ribosomal protein L24,RPL24,sp|P83731|RL24_HUMAN 60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1
1.138155699,NaN,0.787181675,1.076969504,1.00076896,0.187484889,"Peripheral membrane protein {ECO:0000305}. Note=Highly abundant. In some cell types, seems to be also secreted or associated with the plasma membrane, where it undergoes constant shedding and replacement from intracellular sources (Probable). Localizes near CD4-enriched regions on lymphoid cell surfaces (PubMed:11181151). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:10636893). Colocalizes with MTTP in the endoplasmic reticulum (PubMed:23475612). {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:11181151, ECO:0000269|PubMed:23475612, ECO:0000305}.;SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:23475612}. Endoplasmic reticulum lumen {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:23475612}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Cell membrane {ECO:0000269|PubMed:21670307}",0.01149749,1.00076896,+,9,18.1,18.1,18.1,57.116,121.58,139160000,109600000,137560000,P07237,P07237,Protein disulfide-isomerase,P4HB,sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3
0.78331542,NaN,1.045023561,1.07402575,0.96745491,0.160127436,SUBCELLULAR LOCATION: Endoplasmic reticulum lumen.,0.009008433,0.96745491,+,3,4.1,4.1,4.1,111.33,24.575,14943000,33477000,55983000,Q9Y4L1,Q9Y4L1,Hypoxia up-regulated protein 1,HYOU1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1
0.734251082,NaN,1.059839845,1.06129241,0.951794446,0.188399479,"Single-pass type I membrane protein {ECO:0000255}. Postsynaptic Golgi apparatus {ECO:0000250|UniProtKB:Q62638}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000250|UniProtKB:Q62638}. Note=Golgi medial cisternae. Localizes to the postsynaptic Golgi apparatus region, also named Golgi outpost, which shapes dendrite morphology by functioning as sites of acentrosomal microtubule nucleation. {ECO:0000250|UniProtKB:Q62638}.;SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:2355176}",0.012809849,0.951794446,+,6,6.2,6.2,6.2,134.55,57.958,16752000,55102000,67473000,Q92896,Q92896,Golgi apparatus protein 1,GLG1,sp|Q92896|GSLG1_HUMAN Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2
